Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID
37,CA-2016-117590,12/08/2016,12/10/2016,First Class,GH-14485,FUR-FU-10003664
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,OFF-EN-10002986
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-BO-10002545
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-CH-10004218
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,TEC-PH-10000486
42,CA-2017-120999,09/10/2017,9/15/2017,Standard Class,LC-16930,TEC-PH-10004093
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,OFF-ST-10003479
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,OFF-ST-10003282
45,CA-2016-118255,03/11/2016,3/13/2016,First Class,ON-18715,TEC-AC-10000171
46,CA-2016-118255,03/11/2016,3/13/2016,First Class,ON-18715,OFF-BI-10003291
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,OFF-ST-10001713
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-AC-10002167
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-PH-10003988
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-BI-10004410
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-LA-10002762
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-FU-10001706
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-CH-10003061
54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,OFF-FA-10000304
55,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,TEC-PH-10002447
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-ST-10000604
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10001569
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,FUR-CH-10003968
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10000587
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,TEC-AC-10002167
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-BI-10001460
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-AR-10001868
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,TEC-AC-10004633
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-BI-10001078
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-PA-10003892
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,FUR-FU-10000397
67,US-2015-164175,4/30/2015,05/05/2015,Standard Class,PS-18970,FUR-CH-10001146
68,CA-2014-106376,12/05/2014,12/10/2014,Standard Class,BS-11590,OFF-AR-10002671
69,CA-2014-106376,12/05/2014,12/10/2014,Standard Class,BS-11590,TEC-PH-10002726
70,CA-2016-119823,06/04/2016,06/06/2016,First Class,KD-16270,OFF-PA-10000482
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,OFF-BI-10004654
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,OFF-PA-10004675
73,US-2015-134026,4/26/2015,05/02/2015,Standard Class,JE-15745,FUR-CH-10000513
74,US-2015-134026,4/26/2015,05/02/2015,Standard Class,JE-15745,FUR-FU-10003708
75,US-2015-134026,4/26/2015,05/02/2015,Standard Class,JE-15745,OFF-ST-10004123
76,US-2017-118038,12/09/2017,12/11/2017,First Class,KB-16600,OFF-BI-10004182
77,US-2017-118038,12/09/2017,12/11/2017,First Class,KB-16600,FUR-FU-10000260
78,US-2017-118038,12/09/2017,12/11/2017,First Class,KB-16600,OFF-ST-10000615
79,US-2014-147606,11/26/2014,12/01/2014,Second Class,JE-15745,FUR-FU-10003194
80,CA-2016-127208,06/12/2016,6/15/2016,First Class,SC-20770,OFF-AP-10002118
81,CA-2016-127208,06/12/2016,6/15/2016,First Class,SC-20770,OFF-BI-10002309
82,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-AR-10002053
83,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-ST-10002370
84,CA-2015-149734,09/03/2015,09/08/2015,Standard Class,JC-16105,OFF-EN-10000927
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,OFF-ST-10003656
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,FUR-CH-10000863
87,CA-2017-155558,10/26/2017,11/02/2017,Standard Class,PG-18895,TEC-AC-10001998
88,CA-2017-155558,10/26/2017,11/02/2017,Standard Class,PG-18895,OFF-LA-10000134
89,CA-2016-159695,04/05/2016,04/10/2016,Second Class,GM-14455,OFF-ST-10003442
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-AR-10004930
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,TEC-PH-10004093
92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-PA-10000304
93,CA-2015-149587,1/31/2015,02/05/2015,Second Class,KB-16315,OFF-PA-10003177
94,CA-2015-149587,1/31/2015,02/05/2015,Second Class,KB-16315,FUR-FU-10003799
95,CA-2015-149587,1/31/2015,02/05/2015,Second Class,KB-16315,OFF-BI-10002852
96,US-2017-109484,11/06/2017,11/12/2017,Standard Class,RB-19705,OFF-BI-10004738
97,CA-2017-161018,11/09/2017,11/11/2017,Second Class,PN-18775,FUR-FU-10000629
98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,OFF-BI-10001721
99,CA-2016-149223,09/06/2016,09/11/2016,Standard Class,ER-13855,OFF-AP-10000358
100,CA-2016-158568,8/29/2016,09/02/2016,Standard Class,RB-19465,OFF-PA-10003256
101,CA-2016-158568,8/29/2016,09/02/2016,Standard Class,RB-19465,TEC-AC-10001767
102,CA-2016-158568,8/29/2016,09/02/2016,Standard Class,RB-19465,OFF-BI-10002609
103,CA-2016-129903,12/01/2016,12/04/2016,Second Class,GZ-14470,OFF-PA-10004040
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,TEC-AC-10001552
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,FUR-FU-10004006
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,OFF-BI-10002794
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,TEC-AC-10003499
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,TEC-PH-10002844
109,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,OFF-AR-10000390
110,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,TEC-AC-10000844
111,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,FUR-FU-10001934
112,CA-2016-128867,11/03/2016,11/10/2016,Standard Class,CL-12565,OFF-AR-10000380
113,CA-2016-128867,11/03/2016,11/10/2016,Standard Class,CL-12565,OFF-BI-10003981
114,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-FA-10000621
115,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002600
116,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-PA-10004965
117,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002504
118,CA-2015-110457,03/02/2015,03/06/2015,Standard Class,DK-13090,FUR-TA-10001768
119,US-2015-136476,04/05/2015,04/10/2015,Standard Class,GG-14650,OFF-BI-10003650
120,CA-2016-103730,06/12/2016,6/15/2016,First Class,SC-20725,FUR-FU-10002157
121,CA-2016-103730,06/12/2016,6/15/2016,First Class,SC-20725,OFF-BI-10003910
122,CA-2016-103730,06/12/2016,6/15/2016,First Class,SC-20725,OFF-ST-10000777
123,CA-2016-103730,06/12/2016,6/15/2016,First Class,SC-20725,OFF-EN-10002500
124,CA-2016-103730,06/12/2016,6/15/2016,First Class,SC-20725,TEC-PH-10003875
125,US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,FUR-CH-10004063
126,US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,FUR-TA-10004534
127,US-2017-107272,11/05/2017,11/12/2017,Standard Class,TS-21610,OFF-BI-10003274
128,US-2017-107272,11/05/2017,11/12/2017,Standard Class,TS-21610,OFF-ST-10002974
129,US-2016-125969,11/06/2016,11/10/2016,Second Class,LS-16975,FUR-CH-10001146
130,US-2016-125969,11/06/2016,11/10/2016,Second Class,LS-16975,FUR-FU-10003773
131,US-2017-164147,02/02/2017,02/05/2017,First Class,DW-13585,TEC-PH-10002293
132,US-2017-164147,02/02/2017,02/05/2017,First Class,DW-13585,OFF-PA-10002377
133,US-2017-164147,02/02/2017,02/05/2017,First Class,DW-13585,OFF-FA-10002780
134,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-PA-10001804
135,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-PA-10001736
136,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-AR-10001149
137,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-FA-10002988
138,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-BI-10004781
139,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-SU-10001218
140,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,FUR-FU-10001706
141,CA-2016-110366,09/05/2016,09/07/2016,Second Class,JD-15895,FUR-FU-10004848
142,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,OFF-AR-10000940
143,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,OFF-EN-10004030
144,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,OFF-PA-10004327
145,CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080,OFF-AP-10001058
146,CA-2015-110744,09/07/2015,09/12/2015,Standard Class,HA-14920,OFF-ST-10003656
147,CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,FUR-FU-10000521
148,CA-2016-114489,12/05/2016,12/09/2016,Standard Class,JE-16165,TEC-PH-10000215
149,CA-2016-114489,12/05/2016,12/09/2016,Standard Class,JE-16165,TEC-PH-10001448
150,CA-2016-114489,12/05/2016,12/09/2016,Standard Class,JE-16165,FUR-CH-10000454
151,CA-2016-114489,12/05/2016,12/09/2016,Standard Class,JE-16165,OFF-BI-10002735
152,CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,OFF-AP-10000326
153,CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,TEC-PH-10001254
154,CA-2015-124919,5/31/2015,06/02/2015,First Class,SP-20650,OFF-PA-10001950
155,CA-2015-124919,5/31/2015,06/02/2015,First Class,SP-20650,OFF-PA-10002254
156,CA-2015-124919,5/31/2015,06/02/2015,First Class,SP-20650,OFF-ST-10001590
157,CA-2015-118948,5/28/2015,06/03/2015,Standard Class,NK-18490,OFF-AR-10001547
158,CA-2014-104269,03/01/2014,03/06/2014,Second Class,DB-13060,FUR-CH-10004063
159,CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,OFF-LA-10002475
160,CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,TEC-PH-10004536
161,CA-2016-162733,05/11/2016,05/12/2016,First Class,TT-21070,OFF-PA-10002751
162,CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960,TEC-AC-10003657
163,CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900,OFF-EN-10001990
164,CA-2016-113817,11/07/2016,11/11/2016,Standard Class,MJ-17740,OFF-BI-10004002
165,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,OFF-AR-10004441
166,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,TEC-MA-10000822
167,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,OFF-ST-10000991
168,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,FUR-CH-10004287
169,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,OFF-AR-10002656
170,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,OFF-AP-10002518
171,CA-2014-139892,09/08/2014,09/12/2014,Standard Class,BM-11140,TEC-PH-10003931
172,CA-2014-118962,08/05/2014,08/09/2014,Standard Class,CS-12130,OFF-PA-10000659
173,CA-2014-118962,08/05/2014,08/09/2014,Standard Class,CS-12130,OFF-PA-10001144
174,CA-2014-118962,08/05/2014,08/09/2014,Standard Class,CS-12130,FUR-CH-10003817
175,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-AP-10000891
176,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-LA-10003148
177,US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500,OFF-AP-10002684
178,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,FUR-CH-10004698
179,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,OFF-SU-10002189
180,CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640,OFF-AR-10001940
181,CA-2014-166191,12/05/2014,12/09/2014,Second Class,DK-13150,OFF-ST-10003455
182,CA-2014-166191,12/05/2014,12/09/2014,Second Class,DK-13150,TEC-AC-10004659
183,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10003273
184,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10004896
185,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-AC-10002345
186,CA-2016-105018,11/28/2016,12/02/2016,Standard Class,SK-19990,OFF-BI-10001890
187,CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,TEC-AC-10002323
188,CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,OFF-ST-10001328
189,CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,OFF-PA-10001950
190,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,FUR-BO-10002613
191,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,TEC-PH-10001552
192,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,OFF-PA-10000061
193,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,FUR-BO-10002545
194,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,OFF-AR-10003514
195,CA-2015-131457,10/31/2015,11/06/2015,Standard Class,MZ-17515,OFF-EN-10001509
196,CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004685
197,CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004027
198,CA-2017-107720,11/06/2017,11/13/2017,Standard Class,VM-21685,OFF-ST-10001414
199,US-2017-124303,07/06/2017,7/13/2017,Standard Class,FH-14365,OFF-BI-10000343
200,US-2017-124303,07/06/2017,7/13/2017,Standard Class,FH-14365,OFF-PA-10002749
201,CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305,OFF-PA-10002666
202,CA-2014-133690,08/03/2014,08/05/2014,First Class,BS-11755,FUR-TA-10004289
203,CA-2014-133690,08/03/2014,08/05/2014,First Class,BS-11755,OFF-AP-10003622
204,US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140,OFF-AP-10003217
205,CA-2017-126382,06/03/2017,06/07/2017,Standard Class,HK-14890,FUR-FU-10002960
206,CA-2017-108329,12/09/2017,12/14/2017,Standard Class,LE-16810,TEC-PH-10001918
207,CA-2017-135860,12/01/2017,12/07/2017,Standard Class,JH-15985,OFF-ST-10000642
208,CA-2017-135860,12/01/2017,12/07/2017,Standard Class,JH-15985,TEC-PH-10001700
209,CA-2017-135860,12/01/2017,12/07/2017,Standard Class,JH-15985,OFF-BI-10003274
210,CA-2017-135860,12/01/2017,12/07/2017,Standard Class,JH-15985,OFF-FA-10000134
211,CA-2017-135860,12/01/2017,12/07/2017,Standard Class,JH-15985,OFF-ST-10001522
212,CA-2015-101007,02/09/2015,2/13/2015,Second Class,MS-17980,TEC-AC-10001266
213,CA-2015-146262,01/02/2015,01/09/2015,Standard Class,VW-21775,OFF-LA-10004544
214,CA-2015-146262,01/02/2015,01/09/2015,Standard Class,VW-21775,FUR-BO-10004695
215,CA-2015-146262,01/02/2015,01/09/2015,Standard Class,VW-21775,TEC-PH-10002844
216,CA-2015-146262,01/02/2015,01/09/2015,Standard Class,VW-21775,TEC-MA-10000864
217,CA-2015-146262,01/02/2015,01/09/2015,Standard Class,VW-21775,TEC-AC-10000109
218,CA-2016-130162,10/28/2016,11/01/2016,Standard Class,JH-15910,OFF-ST-10001328
219,CA-2016-130162,10/28/2016,11/01/2016,Standard Class,JH-15910,TEC-PH-10002563
220,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-FA-10000585
221,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-PA-10004000
222,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-BI-10002852
223,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,FUR-FU-10000087
224,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,TEC-MA-10001148
225,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-AR-10001958
226,CA-2015-163055,08/09/2015,8/16/2015,Standard Class,DS-13180,OFF-AR-10001026
227,CA-2015-163055,08/09/2015,8/16/2015,Standard Class,DS-13180,FUR-TA-10003748
228,CA-2015-163055,08/09/2015,8/16/2015,Standard Class,DS-13180,OFF-ST-10002485
229,US-2015-145436,2/28/2015,03/04/2015,Standard Class,VD-21670,FUR-CH-10004860
230,US-2015-145436,2/28/2015,03/04/2015,Standard Class,VD-21670,FUR-CH-10004477
231,US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035,OFF-BI-10001679
232,US-2017-100930,04/07/2017,04/12/2017,Standard Class,CS-12400,FUR-TA-10001705
233,US-2017-100930,04/07/2017,04/12/2017,Standard Class,CS-12400,FUR-TA-10003473
234,US-2017-100930,04/07/2017,04/12/2017,Standard Class,CS-12400,OFF-BI-10001679
235,US-2017-100930,04/07/2017,04/12/2017,Standard Class,CS-12400,FUR-FU-10004017
236,US-2017-100930,04/07/2017,04/12/2017,Standard Class,CS-12400,TEC-AC-10003832
237,CA-2017-160514,11/12/2017,11/16/2017,Standard Class,DB-13120,OFF-PA-10002479
238,CA-2016-157749,06/04/2016,06/09/2016,Second Class,KL-16645,OFF-PA-10003349
239,CA-2016-157749,06/04/2016,06/09/2016,Second Class,KL-16645,FUR-FU-10000576
240,CA-2016-157749,06/04/2016,06/09/2016,Second Class,KL-16645,FUR-FU-10004351
241,CA-2016-157749,06/04/2016,06/09/2016,Second Class,KL-16645,TEC-PH-10000011
242,CA-2016-157749,06/04/2016,06/09/2016,Second Class,KL-16645,FUR-TA-10002607
243,CA-2016-157749,06/04/2016,06/09/2016,Second Class,KL-16645,FUR-FU-10002505
244,CA-2016-157749,06/04/2016,06/09/2016,Second Class,KL-16645,OFF-AR-10004685
245,CA-2014-131926,06/01/2014,06/06/2014,Second Class,DW-13480,FUR-CH-10004063
246,CA-2014-131926,06/01/2014,06/06/2014,Second Class,DW-13480,OFF-ST-10002276
247,CA-2014-131926,06/01/2014,06/06/2014,Second Class,DW-13480,OFF-PA-10004082
248,CA-2014-131926,06/01/2014,06/06/2014,Second Class,DW-13480,OFF-AP-10002945
249,CA-2014-131926,06/01/2014,06/06/2014,Second Class,DW-13480,OFF-PA-10000061
250,CA-2016-154739,12/10/2016,12/15/2016,Second Class,LH-17155,FUR-CH-10002965
251,CA-2016-145625,09/11/2016,9/17/2016,Standard Class,KC-16540,OFF-PA-10004569
252,CA-2016-145625,09/11/2016,9/17/2016,Standard Class,KC-16540,TEC-AC-10003832
253,CA-2016-146941,12/10/2016,12/13/2016,First Class,DL-13315,OFF-ST-10001228
254,CA-2016-146941,12/10/2016,12/13/2016,First Class,DL-13315,OFF-EN-10003296
255,US-2015-159982,11/28/2015,12/04/2015,Standard Class,DR-12880,FUR-FU-10002505
256,US-2015-159982,11/28/2015,12/04/2015,Standard Class,DR-12880,OFF-ST-10004804
257,US-2015-159982,11/28/2015,12/04/2015,Standard Class,DR-12880,OFF-ST-10001590
258,US-2015-159982,11/28/2015,12/04/2015,Standard Class,DR-12880,TEC-PH-10001580
259,CA-2017-163139,12/01/2017,12/03/2017,Second Class,CC-12670,TEC-AC-10000290
260,CA-2017-163139,12/01/2017,12/03/2017,Second Class,CC-12670,OFF-ST-10002790
261,CA-2017-163139,12/01/2017,12/03/2017,Second Class,CC-12670,OFF-BI-10003460
262,US-2017-155299,06/08/2017,06/12/2017,Standard Class,Dl-13600,OFF-AP-10002203
263,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,TEC-MA-10000822
264,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,TEC-MA-10003353
265,CA-2016-125318,06/06/2016,6/13/2016,Standard Class,RC-19825,TEC-PH-10001433
266,CA-2015-155040,11/10/2015,11/15/2015,Standard Class,AH-10210,TEC-AC-10004469
267,CA-2017-136826,6/16/2017,6/20/2017,Standard Class,CB-12535,OFF-AR-10003602
268,CA-2016-111010,1/22/2016,1/28/2016,Standard Class,PG-18895,OFF-FA-10003472
269,US-2017-145366,12/09/2017,12/13/2017,Standard Class,CA-12310,OFF-ST-10004180
270,US-2017-145366,12/09/2017,12/13/2017,Standard Class,CA-12310,OFF-EN-10004386
271,CA-2017-163979,12/28/2017,01/02/2018,Second Class,KH-16690,OFF-ST-10003208
272,CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,TEC-AC-10003628
273,CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,FUR-FU-10003274
274,CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,OFF-BI-10002557
275,CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990,OFF-PA-10002615
276,CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990,OFF-AR-10001427
277,CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495,OFF-PA-10000673
278,CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495,OFF-PA-10004470
279,CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495,OFF-ST-10000876
280,CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495,OFF-LA-10002043
281,US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725,OFF-BI-10004967
282,US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725,TEC-PH-10001760
283,CA-2015-130890,11/02/2015,11/06/2015,Standard Class,JO-15280,FUR-TA-10002903
284,CA-2015-130883,9/26/2015,10/02/2015,Standard Class,TB-21520,OFF-PA-10000474
285,CA-2015-130883,9/26/2015,10/02/2015,Standard Class,TB-21520,TEC-AC-10001956
286,CA-2015-130883,9/26/2015,10/02/2015,Standard Class,TB-21520,OFF-PA-10004100
287,CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195,OFF-BI-10000778
288,CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195,OFF-AP-10002684
289,CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195,OFF-SU-10000646
290,CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565,OFF-FA-10002983
291,CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565,OFF-LA-10004689
292,CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565,TEC-AC-10002001
293,CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565,FUR-BO-10004709
294,CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,FUR-FU-10004091
